Date,Open,High,Low,Close,Volume,Adj. Close
17-05-18,1580.560059,1594.040039,1573,1581.76001,2147600,1581.76001
18-05-18,1581.329956,1583.589966,1572.099976,1574.369995,2642600,1574.369995
21-05-18,1585,1592.050049,1575,1585.459961,2925200,1585.459961
22-05-18,1589.890015,1589.890015,1575.25,1581.400024,2115600,1581.400024
23-05-18,1571.050049,1601.859985,1566.339966,1601.859985,3299800,1601.859985
24-05-18,1598.030029,1608.23999,1588.380005,1603.069946,3375800,1603.069946
25-05-18,1603,1614.119995,1600.449951,1610.150024,2698400,1610.150024
29-05-18,1600.709961,1621.790039,1600.150024,1612.869995,3829900,1612.869995
30-05-18,1618.099976,1626,1612.930054,1624.890015,2907400,1624.890015
31-05-18,1623,1635,1621.349976,1629.619995,3166300,1629.619995
01-06-18,1637.030029,1646.72998,1635.089966,1641.540039,3290100,1641.540039
04-06-18,1648.900024,1665.680054,1645.48999,1665.27002,3167900,1665.27002
05-06-18,1672.98999,1699,1670.060059,1696.349976,4782200,1696.349976
06-06-18,1704.51001,1714.5,1686.469971,1695.75,5473200,1695.75
07-06-18,1698.560059,1699.900024,1676.109985,1689.300049,3765700,1689.300049
08-06-18,1681.119995,1689.439941,1673.01001,1683.98999,2955100,1683.98999
11-06-18,1681.51001,1694.23999,1680.589966,1689.119995,2335500,1689.119995
12-06-18,1693,1699.51001,1691.52002,1698.75,2259200,1698.75
13-06-18,1702.810059,1713.75,1700.119995,1704.859985,3327500,1704.859985
14-06-18,1713.47998,1724.800049,1708.869995,1723.859985,3174400,1723.859985
15-06-18,1714,1720.869995,1708.52002,1715.969971,4777600,1715.969971
18-06-18,1706.26001,1726.73999,1702.560059,1723.790039,3107700,1723.790039
19-06-18,1709.040039,1736.109985,1700.390015,1734.780029,4290100,1734.780029
20-06-18,1742.5,1762.930054,1741.359985,1750.079956,4332600,1750.079956
21-06-18,1760,1763.099976,1717.560059,1730.219971,4941100,1730.219971
22-06-18,1742.619995,1743,1711.900024,1715.670044,4075100,1715.670044
25-06-18,1702.51001,1705,1646.310059,1663.150024,7511200,1663.150024
26-06-18,1672.369995,1701.569946,1663.339966,1691.089966,4386600,1691.089966
27-06-18,1708.109985,1711.949951,1660,1660.51001,4872200,1660.51001
28-06-18,1672.540039,1705.5,1661.170044,1701.449951,4529700,1701.449951
29-06-18,1717,1723.410034,1694.319946,1699.800049,4543500,1699.800049
02-07-18,1682.699951,1713.890015,1678.060059,1713.780029,3185700,1713.780029
03-07-18,1723.959961,1725,1692.47998,1693.959961,2177300,1693.959961
05-07-18,1705.380005,1710.689941,1682.150024,1699.72998,2983100,1699.72998
06-07-18,1696,1715.27002,1691.670044,1710.630005,2650300,1710.630005
09-07-18,1724.050049,1739.560059,1716.22998,1739.02002,3012000,1739.02002
10-07-18,1738.530029,1750,1731,1743.069946,3002900,1743.069946
11-07-18,1737.98999,1756.959961,1734,1755,3209800,1755
12-07-18,1764.51001,1798,1762.180054,1796.619995,4532700,1796.619995
13-07-18,1803.930054,1815.300049,1795.22998,1813.030029,4383200,1813.030029
16-07-18,1821.949951,1841.949951,1814.449951,1822.48999,5466200,1822.48999
17-07-18,1811.560059,1851.689941,1797.380005,1843.930054,5682900,1843.930054
18-07-18,1848,1858.880005,1831.27002,1842.920044,4861900,1842.920044
19-07-18,1829.459961,1841,1811.27002,1812.969971,4676900,1812.969971
20-07-18,1825.01001,1834.839966,1810.060059,1813.699951,3884400,1813.699951
