,city,job_title,company_name,summary,salary
179,sydney,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
180,sydney,Data Analyst,Amazon.com,As a Data Analyst,salary
181,sydney,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,salary
182,sydney,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary
183,sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,"$70,000 - $90,000 a year"
184,sydney,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
185,sydney,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
186,sydney,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
187,sydney,Data Analyst,Munich Re,Data Analyst,salary
188,sydney,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
189,sydney,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary
190,sydney,Data Analyst,Robert Half Australia,As the Data Analyst,$600 a week
191,sydney,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary
192,Sydney,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...","$55,000 - $65,000 a year"
193,Sydney,Data Analyst,ANZ Banking Group,Our Data Analyst,salary
194,Sydney,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,salary
195,Sydney,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
196,Sydney,Data Analyst,Amazon.com,As a Data Analyst,salary
197,Sydney,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,salary
198,Sydney,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary
199,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,"$70,000 - $90,000 a year"
200,Sydney,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
201,Sydney,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
202,Sydney,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
203,Sydney,Data Analyst,Munich Re,Data Analyst,salary
204,Sydney,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
205,Sydney,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary
206,Sydney,Data Analyst,Robert Half Australia,As the Data Analyst,$600 a week
207,Sydney,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary
208,Melbourne,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...","$55,000 - $65,000 a year"
209,Melbourne,Data Analyst,ANZ Banking Group,Our Data Analyst,salary
210,Melbourne,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,salary
211,Melbourne,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
212,Melbourne,Data Analyst,Amazon.com,As a Data Analyst,salary
213,Melbourne,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,salary
214,Melbourne,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary
215,Melbourne,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,"$70,000 - $90,000 a year"
216,Melbourne,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
217,Melbourne,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
218,Melbourne,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
219,Melbourne,Data Analyst,Munich Re,Data Analyst,salary
220,Melbourne,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
